id,codigo_curso,area_basica,area_avaliacao,situacao,inicio,nota,universidade,cep,cidade,doutorado,mestrado,info_doutorado,info_mestrado
1014,CONTROLADORIA E CONTABILIDADE (33002010086P1),CIÊNCIAS CONTÁBEIS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",EM FUNCIONAMENTO,1970,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010086D2'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010086M1'}"
1015,CIÊNCIAS DA COMUNICAÇÃO (33002010096P7),COMUNICAÇÃO,COMUNICAÇÃO E INFORMAÇÃO,EM FUNCIONAMENTO,1972,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010096D8'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010096M7'}"
1016,ARQUITETURA E URBANISMO (33002010097P3),ARQUITETURA E URBANISMO,"ARQUITETURA, URBANISMO E DESIGN",EM FUNCIONAMENTO,1972,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010097D4'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010097M3'}"
1017,NUTRIÇÃO E PRODUÇÃO ANIMAL (33002010098P0),NUTRIÇÃO E ALIMENTAÇÃO ANIMAL,ZOOTECNIA / RECURSOS PESQUEIROS,EM FUNCIONAMENTO,1978,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010098D0'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010098M0'}"
1018,ANATOMIA DOS ANIMAIS DOMÉSTICOS E SILVESTRES (33002010099P6),MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,EM FUNCIONAMENTO,1976,7,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010099D7'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010099M6'}"
1019,Interunidades Sistemas Integrados em Alimentos (33002010101P0),CIÊNCIA DE ALIMENTOS,CIÊNCIA DE ALIMENTOS,EM FUNCIONAMENTO,1970,5,,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010101D1'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010101M0'}"
1020,LINGÜÍSTICA (33002010103P3),LINGÜÍSTICA,LINGUíSTICA E LITERATURA,EM FUNCIONAMENTO,1971,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010103D4'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010103M3'}"
1021,"LETRAS (LÍNGUA, LITERATURA E CULTURA ITALIANAS) (33002010104P0)",LETRAS,LINGUíSTICA E LITERATURA,EM FUNCIONAMENTO,1975,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010104D0'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010104M0'}"
1022,LETRAS (LÍNGUA E LITERATURA ALEMÃ) (33002010105P6),LETRAS,LINGUíSTICA E LITERATURA,EM FUNCIONAMENTO,1971,4,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010105D7'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010105M6'}"
1023,LETRAS (LETRAS CLÁSSICAS) (33002010106P2),LETRAS,LINGUíSTICA E LITERATURA,EM FUNCIONAMENTO,1971,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010106D3'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010106M2'}"
1024,FILOLOGIA E LÍNGUA PORTUGUESA (33002010107P9),LÍNGUA PORTUGUESA,LINGUíSTICA E LITERATURA,EM FUNCIONAMENTO,1971,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010107D0'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010107M9'}"
1025,Letras Estrangeiras e Tradução (33002010108P5),LETRAS,LINGUíSTICA E LITERATURA,EM FUNCIONAMENTO,1971,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010108D6'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010108M5'}"
1026,ESTUDOS LINGUÍSTICOS E LITERÁRIOS EM INGLÊS (33002010109P1),LETRAS,LINGUíSTICA E LITERATURA,EM FUNCIONAMENTO,1971,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010109D2'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010109M1'}"
1029,LETRAS (TEORIA LITERÁRIA E LITERATURA COMPARADA) (33002010112P2),TEORIA LITERARIA,LINGUíSTICA E LITERATURA,EM FUNCIONAMENTO,1971,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010112D3'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010112M2'}"
1030,LETRAS (LÍNGUA ESPANHOLA E LIT. ESPANHOLA E HISPANO-AMERIC.) (33002010113P9),LETRAS,LINGUíSTICA E LITERATURA,EM FUNCIONAMENTO,1977,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010113D0'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010113M9'}"
1032,CIÊNCIAS DO SISTEMA MUSCULOESQUELÉTICO (33002010115P1),ORTOPEDIA,MEDICINA III,EM FUNCIONAMENTO,1974,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010115D2'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010115M1'}"
1033,ECOLOGIA (33002010116P8),ECOLOGIA,BIODIVERSIDADE,EM FUNCIONAMENTO,1982,7,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010116D9'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010116M8'}"
1034,NEFROLOGIA (33002010117P4),NEFROLOGIA,MEDICINA I,EM FUNCIONAMENTO,1980,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010117D5'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010117M4'}"
1035,Ciências da Respiração (33002010118P0),PNEUMOLOGIA,MEDICINA I,EM FUNCIONAMENTO,1982,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,False,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010118D1'}",
1036,DIREITO (33002010119P7),DIREITO,DIREITO,EM FUNCIONAMENTO,1971,7,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010119D8'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010119M7'}"
1037,ENFERMAGEM (33002010120P5),ENFERMAGEM,ENFERMAGEM,EM FUNCIONAMENTO,1981,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,False,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010120D6'}",
1038,IMUNOLOGIA (33002010121P1),IMUNOLOGIA,CIÊNCIAS BIOLÓGICAS III,EM FUNCIONAMENTO,1983,7,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010121D2'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010121M1'}"
1039,OFTALMOLOGIA (33002010122P8),OFTALMOLOGIA,MEDICINA III,EM FUNCIONAMENTO,1980,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,False,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010122D9'}",
1040,Epidemiologia e Saúde Única (33002010123P4),MEDICINA VETERINÁRIA PREVENTIVA,MEDICINA VETERINÁRIA,EM FUNCIONAMENTO,1983,7,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010123D5'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010123M4'}"
1041,METEOROLOGIA (33002010124P0),METEOROLOGIA,GEOCIÊNCIAS,EM FUNCIONAMENTO,1973,7,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010124D1'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010124M0'}"
1042,CARDIOLOGIA (33002010125P7),CARDIOLOGIA,MEDICINA I,EM FUNCIONAMENTO,1975,7,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,False,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010125D8'}",
1043,GEOCIÊNCIAS (RECURSOS MINERAIS E HIDROGEOLOGIA) (33002010126P3),GEOLOGIA,GEOCIÊNCIAS,EM FUNCIONAMENTO,1970,4,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010126D4'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010126M3'}"
1044,GEOCIÊNCIAS (GEOQUÍMICA E GEOTECTÔNICA) (33002010127P0),GEOLOGIA,GEOCIÊNCIAS,EM FUNCIONAMENTO,1986,7,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010127D0'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010127M0'}"
1046,UROLOGIA (33002010129P2),CIRURGIA UROLÓGICA,MEDICINA III,EM FUNCIONAMENTO,1987,4,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010129D3'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010129M2'}"
1047,ENGENHARIA CIVIL (33002010130P0),ENGENHARIA CIVIL,ENGENHARIAS I,EM FUNCIONAMENTO,1970,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010130D1'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010130M0'}"
1048,ENGENHARIA MINERAL (33002010131P7),ENGENHARIA DE MINAS,ENGENHARIAS II,EM FUNCIONAMENTO,1970,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010131D8'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010131M7'}"
1049,"Anestesiologia, Ciências Cirúrgicas e Medicina Perioperatória (33002010132P3)",ANESTESIOLOGIA,MEDICINA III,EM FUNCIONAMENTO,1987,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,False,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010132D4'}",
1050,RADIOLOGIA (33002010133P0),RADIOLOGIA MÉDICA,MEDICINA II,EM FUNCIONAMENTO,1987,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,False,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010133D0'}",
1051,INTEGRAÇÃO DA AMÉRICA LATINA (33002010134P6),"SOCIAIS, CULTURAS E HUMANIDADES",INTERDISCIPLINAR,EM FUNCIONAMENTO,1988,4,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010134D7'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010134M6'}"
1055,"DIAGNÓSTICO BUCAL, RADIOLOGIA ODONTOLÓGICA E IMAGINOLOGIA (33002010138P1)",ODONTOLOGIA,ODONTOLOGIA,EM FUNCIONAMENTO,1988,4,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010138D2'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010138M1'}"
1056,ODONTOLOGIA (PATOLOGIA E ESTOMATOLOGIA BASICA E APLICADA) (33002010139P8),ODONTOLOGIA,ODONTOLOGIA,EM DESATIVACAO,,,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM DESATIVACAO', 'nota': '5', 'codigo': '33002010139D9'}","{'situacao': 'EM DESATIVACAO', 'nota': '5', 'codigo': '33002010139M8'}"
1058,ODONTOLOGIA (33002010141P2),ODONTOLOGIA,ODONTOLOGIA,EM FUNCIONAMENTO,1988,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010141D3'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010141M2'}"
1060,CIÊNCIA AMBIENTAL (33002010145P8),CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,EM FUNCIONAMENTO,1990,7,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010145D9'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010145M8'}"
1061,ODONTOLOGIA(BIOMATERIAIS E BIOLOGIA ORAL) (33002010146P4),MATERIAIS ODONTOLÓGICOS,ODONTOLOGIA,EM DESATIVACAO,,,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010146D5'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010146M4'}"
1062,ENERGIA (33002010149P3),"ENGENHARIA, TECNOLOGIA E GESTÃO",INTERDISCIPLINAR,EM FUNCIONAMENTO,1989,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010149D4'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010149M3'}"
1063,CLÍNICA VETERINÁRIA (33002010150P1),MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,EM FUNCIONAMENTO,1991,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010150D2'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010150M1'}"
1064,ARQUEOLOGIA (33002010151P8),ANTROPOLOGIA,ANTROPOLOGIA / ARQUEOLOGIA,EM FUNCIONAMENTO,1989,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010151D9'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010151M8'}"
1067,ONCOLOGIA (33002010154P7),CANCEROLOGIA,MEDICINA I,EM FUNCIONAMENTO,1987,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010154D8'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010154M7'}"
1068,CLÍNICA CIRÚRGICA VETERINÁRIA (33002010155P3),MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,EM FUNCIONAMENTO,1992,4,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010155D4'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010155M3'}"
1069,BIOTECNOLOGIA (33002010156P0),BIOLOGIA GERAL,CIÊNCIAS BIOLÓGICAS I,EM FUNCIONAMENTO,1991,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010156D0'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010156M0'}"
1071,MEDICINA (CIRURGIA TORÁCICA E CARDIOVASCULAR) (33002010161P3),CIRURGIA,MEDICINA III,EM FUNCIONAMENTO,1990,4,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,False,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010161D4'}",
1072,NEUROCIÊNCIAS E COMPORTAMENTO (33002010162P0),PSICOLOGIA,PSICOLOGIA,EM FUNCIONAMENTO,1991,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010162D0'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010162M0'}"
1073,NUTRIÇÃO HUMANA APLICADA (33002010163P6),NUTRIÇÃO,NUTRIÇÃO,EM DESATIVACAO,,,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM DESATIVACAO', 'nota': '2', 'codigo': '33002010163D7'}","{'situacao': 'EM DESATIVACAO', 'nota': '1', 'codigo': '33002010163M6'}"
1075,ZOOTECNIA (33002010165P9),ZOOTECNIA,ZOOTECNIA / RECURSOS PESQUEIROS,EM FUNCIONAMENTO,1994,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010165D0'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010165M9'}"
1077,LETRAS (EST.COMP. DE LITER. DE LÍNGUA PORTUGUESA) (33002010168P8),LITERATURA COMPARADA,LINGUíSTICA E LITERATURA,EM FUNCIONAMENTO,1994,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010168D9'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010168M8'}"
1078,CIÊNCIAS MÉDICAS (33002010171P9),MEDICINA,MEDICINA I,EM FUNCIONAMENTO,1995,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010171D0'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010171M9'}"
1079,CIÊNCIAS (FISIOLOGIA HUMANA) (33002010172P5),FISIOLOGIA,CIÊNCIAS BIOLÓGICAS II,EM FUNCIONAMENTO,1994,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010172D6'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010172M5'}"
1080,CIÊNCIAS (FISIOLOGIA GERAL) (33002010174P8),FISIOLOGIA,CIÊNCIAS BIOLÓGICAS II,EM FUNCIONAMENTO,1994,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010174D9'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010174M8'}"
1081,LETRAS (LÍNGUA LITERATURA E CULTURA JAPONESA) (33002010175P4),LETRAS,LINGUíSTICA E LITERATURA,EM FUNCIONAMENTO,1996,4,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,False,True,,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010175M4'}"
1082,CIÊNCIA DA COMPUTAÇÃO (33002010176P0),CIÊNCIA DA COMPUTAÇÃO,COMPUTAÇÃO,EM FUNCIONAMENTO,1997,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010176D1'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010176M0'}"
1083,CIÊNCIAS (FISIOPATOLOGIA EXPERIMENTAL) (33002010177P7),ANATOMIA PATOLÓGICA E PATOLOGIA CLÍNICA,MEDICINA II,EM FUNCIONAMENTO,1996,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010177D8'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010177M7'}"
1088,CIÊNCIAS DA REABILITAÇÃO (33002010182P0),SAÚDE E BIOLÓGICAS,INTERDISCIPLINAR,EM FUNCIONAMENTO,1998,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010182D1'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010182M0'}"
